iter	MultiClass
0	0.6833615739
1	0.6738216501
2	0.6627424222
3	0.6510530432
4	0.6428129452
5	0.6344573292
6	0.6260177587
7	0.6192844235
8	0.6117452925
9	0.6058366786
10	0.5989901535
11	0.5924800462
12	0.5865202426
13	0.5813142497
14	0.575422514
15	0.5716199598
16	0.5670869642
17	0.5629874848
18	0.5605993683
19	0.5561652062
20	0.5528944501
21	0.5471355977
22	0.5436231543
23	0.5407668208
24	0.5370253224
25	0.5341261201
26	0.5307498506
27	0.528069157
28	0.5256144092
29	0.5226760339
30	0.5192937884
31	0.5168404932
32	0.5133194186
33	0.5115156838
34	0.5085271552
35	0.506150869
36	0.5041792563
37	0.5026189996
38	0.4998207176
39	0.4981479182
40	0.4947096413
41	0.4929706837
42	0.4904330548
43	0.4886661728
44	0.4866377041
45	0.4845275148
46	0.4813463022
47	0.4799236567
48	0.4784496005
49	0.4772924652
50	0.4753606079
51	0.4740431018
52	0.4721685112
53	0.4706977419
54	0.4699140185
55	0.467151891
56	0.4663037023
57	0.4651967703
58	0.463674164
59	0.4625494003
60	0.4605959623
61	0.4590322913
62	0.457356191
63	0.4560468232
64	0.4547758991
65	0.4528700979
66	0.4514455416
67	0.4495881446
68	0.4487700528
69	0.4471498119
70	0.4462941875
71	0.4447804851
72	0.4439947346
73	0.4424275293
74	0.4417337768
75	0.4408137004
76	0.4391309704
77	0.4385514403
78	0.4370676544
79	0.4360476128
80	0.4352390953
81	0.4338142075
82	0.4314493875
83	0.4300227127
84	0.4282575064
85	0.4263184162
86	0.4251563046
87	0.424502684
88	0.4239960303
89	0.4227231954
90	0.4218264212
91	0.4208522263
92	0.4197940282
93	0.4181689402
94	0.4165743119
95	0.4152446173
96	0.4139317431
97	0.4133636833
98	0.4128052844
99	0.4120665336
100	0.4107315906
101	0.4096001253
102	0.4081219046
103	0.4076537755
104	0.4066876869
105	0.4057522077
106	0.4051429854
107	0.4039294953
108	0.402080845
109	0.4012608027
110	0.4005358737
111	0.3994281215
112	0.3978762398
113	0.3972642866
114	0.3968262848
115	0.3952131823
116	0.3938893789
117	0.3927067486
118	0.3912965113
119	0.3903685713
120	0.3892104751
121	0.3880072457
122	0.3872492632
123	0.3860591724
124	0.3847201769
125	0.3829014209
126	0.3813794857
127	0.3795780106
128	0.3784957051
129	0.3774392502
130	0.3764895854
131	0.3755591448
132	0.3739486802
133	0.3729560107
134	0.3725365352
135	0.3717710448
136	0.3703105728
137	0.3695111212
138	0.3685671354
139	0.367278703
140	0.3663193554
141	0.3658824246
142	0.3649593004
143	0.3635541096
144	0.362477025
145	0.361648851
146	0.3608244764
147	0.3599145966
148	0.3588128136
149	0.3577404147
150	0.3565843408
151	0.3560211067
152	0.3547987057
153	0.3538366222
154	0.3531751857
155	0.3526450734
156	0.3516818135
157	0.3507526169
158	0.3502823373
159	0.3483089367
160	0.3472591806
161	0.3459308707
162	0.3447630642
163	0.3435812707
164	0.3429463028
165	0.3416098845
166	0.3405573667
167	0.3392076024
168	0.3379518018
169	0.336902963
170	0.3354163202
171	0.3342575762
172	0.3332930145
173	0.3319140651
174	0.3302813145
175	0.3291818573
176	0.3277307455
177	0.3270998133
178	0.3264652348
179	0.3255092262
180	0.3247736851
181	0.3239022669
182	0.322651195
183	0.3219265805
184	0.3215872112
185	0.3205829548
186	0.3200680806
187	0.3190845814
188	0.3177141131
189	0.31675468
190	0.315915499
191	0.3150821006
192	0.3143987311
193	0.3131400951
194	0.3124853274
195	0.3113833134
196	0.3104186087
197	0.3096508013
198	0.3092587654
199	0.3081834332
200	0.3069668274
201	0.3060793935
202	0.3053116349
203	0.3048632526
204	0.3039278448
205	0.3030354546
206	0.3018398706
207	0.3008834111
208	0.2999735682
209	0.2990627166
210	0.2979832098
211	0.2967174677
212	0.2956299202
213	0.2949103261
214	0.2943079045
215	0.2931987174
216	0.2928799541
217	0.2919962818
218	0.2912068921
219	0.2905053801
220	0.2897668561
221	0.288607854
222	0.2876971278
223	0.2869877984
224	0.2860179644
225	0.2853351885
226	0.2845767974
227	0.2841500865
228	0.282789881
229	0.282134728
230	0.2813374406
231	0.2802037453
232	0.2800110513
233	0.279182621
234	0.278357456
235	0.27723649
236	0.2758973434
237	0.2755428217
238	0.2747184464
239	0.2739326984
240	0.2729925405
241	0.2724570912
242	0.2715984798
243	0.2709711776
244	0.2704044641
245	0.2696225723
246	0.2690241728
247	0.2687755727
248	0.2681996688
249	0.2670742005
250	0.2659766027
251	0.2649895476
252	0.2642027116
253	0.2635957595
254	0.2630561087
255	0.2621818023
256	0.2616300613
257	0.261032488
258	0.2599438343
259	0.2594645426
260	0.2589848837
261	0.2587109099
262	0.2578696576
263	0.2575548372
264	0.256708195
265	0.2559836555
266	0.2554698328
267	0.2549382494
268	0.2543377034
269	0.2539427079
270	0.2533973088
271	0.25308566
272	0.2526388868
273	0.2524671246
274	0.2518844753
275	0.251474592
276	0.250664512
277	0.2501385188
278	0.2494529701
279	0.2490779162
280	0.2482000751
281	0.2477201817
282	0.247076652
283	0.2466230554
284	0.2459105008
285	0.2450637297
286	0.2443763811
287	0.2439116641
288	0.2435348534
289	0.2429514454
290	0.2426264422
291	0.2418894824
