iter	Passed	Remaining
0	51	20505
1	53	10587
2	54	7243
3	56	5589
4	57	4549
5	59	3900
6	60	3413
7	62	3060
8	63	2774
9	65	2551
10	67	2375
11	68	2226
12	70	2101
13	72	1990
14	73	1894
15	75	1810
16	76	1734
17	78	1660
18	78	1577
19	80	1523
20	80	1461
21	82	1414
22	83	1368
23	84	1325
24	86	1291
25	87	1259
26	88	1225
27	89	1194
28	91	1166
29	92	1139
30	93	1115
31	94	1091
32	96	1068
33	97	1045
34	98	1027
35	99	1007
36	100	990
37	102	972
38	103	956
39	104	940
40	105	927
41	107	913
42	108	900
43	109	887
44	110	873
45	112	862
46	113	851
47	114	840
48	115	829
49	118	827
50	121	829
51	122	819
52	123	809
53	124	799
54	125	789
55	127	781
56	128	771
57	129	763
58	130	754
59	131	746
60	132	738
61	134	731
62	135	723
63	136	715
64	137	708
65	138	701
66	139	694
67	140	688
68	142	681
69	143	675
70	144	669
71	145	663
72	146	657
73	147	651
74	150	651
75	152	651
76	153	645
77	156	645
78	157	641
79	158	635
80	160	630
81	161	625
82	162	620
83	163	615
84	164	610
85	165	605
86	167	601
87	168	596
88	169	592
89	170	587
90	171	583
91	173	579
92	174	575
93	175	570
94	176	566
95	177	562
96	178	558
97	180	554
98	181	551
99	182	547
100	183	543
101	184	539
102	185	536
103	187	532
104	188	528
105	189	525
106	190	520
107	191	517
108	192	513
109	193	510
110	194	507
111	195	503
112	197	500
113	198	497
114	199	494
115	200	491
116	201	488
117	203	485
118	205	485
119	207	483
120	208	480
121	209	478
122	211	475
123	212	472
124	213	469
125	214	466
126	215	463
127	217	461
128	218	458
129	219	455
130	220	453
131	221	450
132	223	447
133	224	445
134	225	442
135	226	439
136	227	437
137	228	434
138	230	432
139	231	429
140	232	426
141	233	424
142	235	423
143	236	421
144	238	418
145	239	416
146	240	414
147	241	411
148	242	409
149	244	406
150	245	404
151	246	402
152	247	399
153	248	397
154	250	395
155	251	392
156	252	390
157	253	388
158	254	386
159	255	383
160	257	381
161	258	379
162	259	377
163	260	375
164	261	373
165	263	370
166	264	368
167	265	366
168	266	364
169	267	362
170	269	360
171	270	358
172	271	356
173	272	354
174	274	352
175	275	350
176	276	348
177	277	346
178	278	344
179	280	342
180	281	340
181	282	338
182	283	336
183	284	334
184	285	332
185	287	330
186	288	328
187	289	326
188	290	324
189	291	322
190	293	320
191	294	318
192	295	316
193	296	315
194	298	313
195	299	311
196	300	309
197	301	307
198	302	305
199	303	303
200	305	302
201	306	300
202	307	298
203	308	296
204	309	294
205	310	292
206	312	291
207	313	289
208	314	287
209	315	285
210	317	283
211	318	282
212	319	280
213	320	278
214	321	276
215	323	275
216	324	273
217	325	271
218	326	269
219	327	268
220	329	266
221	330	264
222	331	263
223	332	261
224	333	259
225	334	257
226	336	256
227	337	254
228	338	252
229	339	250
230	340	249
231	341	247
232	343	245
233	344	244
234	345	242
235	346	240
236	347	239
237	349	237
238	350	235
239	351	234
240	352	232
241	354	231
242	355	229
243	356	227
244	357	226
245	358	224
246	359	222
247	361	221
248	362	219
249	363	218
250	364	216
251	365	214
252	367	213
253	368	211
254	369	210
255	371	209
256	372	207
257	374	205
258	375	204
259	376	202
260	377	201
261	378	199
262	380	197
263	381	196
264	382	194
265	383	193
266	384	191
267	385	190
268	387	188
269	390	187
270	393	187
271	394	185
272	395	184
273	397	182
274	398	181
275	399	179
276	401	178
277	402	176
278	403	174
279	404	173
280	405	171
281	407	170
282	408	168
283	409	167
284	410	165
285	412	164
286	413	162
287	414	161
288	415	159
289	417	158
290	418	156
291	419	155
292	420	153
293	421	152
294	423	150
295	424	149
296	425	147
297	426	146
298	428	144
299	429	143
300	430	141
301	431	140
302	432	138
303	434	137
304	435	135
305	436	134
306	437	132
307	439	131
308	440	129
309	441	128
310	442	126
311	444	125
312	445	123
313	446	122
314	447	120
315	448	119
316	450	117
317	451	116
318	452	114
319	453	113
320	455	111
321	456	110
322	457	109
323	458	107
324	460	106
325	461	104
326	462	103
327	464	101
328	465	100
329	466	98
330	467	97
331	469	96
332	470	94
333	471	93
334	472	91
335	474	90
336	475	88
337	476	87
338	477	85
339	478	84
340	480	83
341	481	81
342	482	80
343	486	79
344	490	78
345	494	77
346	495	75
347	496	74
348	498	72
349	499	71
350	500	69
351	501	68
352	502	66
353	504	65
354	505	64
355	506	62
356	507	61
357	509	59
358	510	58
359	511	56
360	512	55
361	513	53
362	515	52
363	516	51
364	517	49
365	518	48
366	520	46
367	521	45
368	522	43
369	523	42
370	524	41
371	526	39
372	527	38
373	528	36
374	529	35
375	530	33
376	532	32
377	533	31
378	534	29
379	535	28
380	537	26
381	539	25
382	541	24
383	544	22
384	549	21
385	553	20
386	554	18
387	557	17
388	562	15
389	565	14
390	567	13
391	572	11
392	573	10
393	577	8
394	579	7
395	580	5
396	582	4
397	584	2
398	585	1
399	586	0
